Started FTP process at 2/9/2018 10:43:34 AM
Connected to 10.160.4.6 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0000.dat - length 11961
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0100.dat - length 9430
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0200.dat - length 9187
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0300.dat - length 10048
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0400.dat - length 16088
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0500.dat - length 27348
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0600.dat - length 38537
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0700.dat - length 47645
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0800.dat - length 40707
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_0900.dat - length 40046
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1000.dat - length 38355
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1100.dat - length 40850
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1200.dat - length 40525
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1300.dat - length 40933
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1400.dat - length 40610
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1500.dat - length 43395
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1600.dat - length 43633
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1700.dat - length 44006
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1800.dat - length 36262
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_1900.dat - length 31699
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_2000.dat - length 26257
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_2100.dat - length 25660
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_2200.dat - length 21157
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.6_2018_02_08_2300.dat - length 16562
Finished with FTP process.
Connected to 10.160.4.11 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0000.dat - length 11638
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0100.dat - length 9749
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0200.dat - length 9535
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0300.dat - length 10791
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0400.dat - length 16763
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0500.dat - length 27736
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0600.dat - length 36017
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0700.dat - length 46504
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0800.dat - length 38720
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_0900.dat - length 37847
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1000.dat - length 37044
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1100.dat - length 40275
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1200.dat - length 40920
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1300.dat - length 42369
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1400.dat - length 39030
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1500.dat - length 40442
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1600.dat - length 41138
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1700.dat - length 42763
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.11_2018_02_08_1800.dat - length 37038
